Entity,Code,Year,Plastic waste by application in 2019 - Entity: China,Plastic waste by application in 2019 - Entity: United States,Plastic waste by application in 2019 - Entity: Europe,Plastic waste by application in 2019 - Entity: India,Plastic waste by application in 2019 - Entity: Oceania,Plastic waste by application in 2019 - Entity: World,Plastic waste by application in 2019 - Entity: Sub-Saharan Africa,Plastic waste by application in 2019 - Entity: Middle East & North Africa,Plastic waste by application in 2019 - Entity: Asia (excl. China and India)
Building and construction,,2019,730756.7,3813342.2,7282261,162761.8,156316.42,16246352,45618.492,683772.2,2459699.5
Consumer and institutional products,,2019,8345768,8397301,8009922.5,2234836.5,119740.06,42574224,2363691.5,2027743.4,5898839
Electrical or electronics,,2019,2414041.5,3105487.8,2725873,574950.44,29807.87,13939796,627804.56,665814.06,2190889.5
Industrial or machinery,,2019,167253.42,395344.5,451709.62,666.755,3632.021,1318313.5,25.207,67.399994,3958.1282
Marine coatings,,2019,71422.695,105685.31,81224.766,36657.723,1372.686,483028.3,35720.246,36669.43,68495.67
Other,,2019,10871125,12213263,11550907,2353677,146161.4,57766092,3385080.5,2690094.2,7538514.5
Packaging,,2019,29627014,26969298,26558144,7420292.5,431537.06,141959120,7921898.5,6927058.5,19596658
Personal care products,,2019,3989.8608,3466.484,3850.1152,4931.658,310.644,27318.988,3376.66,0.465,5794.674
Road marking,,2019,98435.586,97256.63,109863.5,33475.508,1584.772,579552.2,32787.5,33869.895,97036.74
Textile sector,,2019,7578562,7996841,5281686,4144764.2,481171.3,38733344,1093840.4,1880194.6,7251795
Total,,2019,65438610,72841060,69339020,18518412,1892815,353291100,16249046,16917150,54357384
Transportation,,2019,5530236,9743772,7283578.5,1551397.2,521180.75,39663960,739202,1971865.5,9245703
